product,category,elasticity,r2,avg_price,avg_sales,price_action,optimal_promo
护肤品,美妆护肤,-0.0456,0.1172,116.4,99.1,可适当提价,满减/买赠
笔,文具办公,-0.0308,0.1065,118.4,152.4,可适当提价,满减/买赠
充电线,数码配件,-0.0286,0.0828,117.2,74.0,可适当提价,满减/买赠
毛绒玩具,玩具礼品,-0.0213,0.0781,116.0,49.6,可适当提价,满减/买赠
面膜,美妆护肤,-0.0195,0.0618,118.6,95.4,可适当提价,满减/买赠
浴室用品,生活用品,-0.0159,0.0714,118.9,118.5,可适当提价,满减/买赠
充电宝,数码配件,-0.0156,0.1095,109.1,73.9,可适当提价,满减/买赠
化妆品,美妆护肤,-0.0136,0.0722,111.7,100.9,可适当提价,满减/买赠
装饰品,玩具礼品,-0.0117,0.0777,117.3,49.6,可适当提价,满减/买赠
耳机,数码配件,-0.0084,0.0577,113.1,74.4,可适当提价,满减/买赠
水杯,生活用品,-0.0031,0.09,120.4,125.1,可适当提价,满减/买赠
益智玩具,玩具礼品,-0.002,0.0979,114.6,49.7,可适当提价,满减/买赠
美容仪,美妆护肤,-0.0011,0.0811,116.8,100.4,可适当提价,满减/买赠
收纳盒,生活用品,0.0031,0.0797,115.5,131.6,可适当提价,满减/买赠
文具礼盒,玩具礼品,0.0036,0.0875,120.5,48.9,可适当提价,满减/买赠
便利贴,文具办公,0.0077,0.0894,113.4,154.7,可适当提价,满减/买赠
文件夹,文具办公,0.0094,0.1184,123.9,155.3,可适当提价,满减/买赠
数据线,数码配件,0.012,0.1234,126.0,74.0,可适当提价,满减/买赠
化妆棉,美妆护肤,0.0179,0.1004,118.4,99.4,可适当提价,满减/买赠
餐具,生活用品,0.0192,0.1021,128.7,120.6,可适当提价,满减/买赠
手机壳,数码配件,0.0253,0.1147,119.6,74.3,可适当提价,满减/买赠
笔记本,文具办公,0.0319,0.0876,119.3,148.8,可适当提价,满减/买赠
小家电,玩具礼品,0.0331,0.0647,118.8,49.7,可适当提价,满减/买赠
清洁用品,生活用品,0.0587,0.1313,118.5,129.0,可适当提价,满减/买赠
